Dam Name,NID ID,Owner Names,Primary Owner Type,Designer Names,Non-Federal Dam on Federal Property,Primary Purpose,Latitude,Longitude,State,County,City,Distance to Nearest City (Miles),Congressional District,American Indian/Alaska Native/Native Hawaiian,State Regulated Dam,Federally Regulated Dam,Dam Height (Ft),Hydraulic Height (Ft),Structural Height (Ft),NID Height (Ft),NID Height Category,Dam Length (Ft),Volume (Cubic Yards),Year Completed,Year Completed Category,Years Modified,NID Storage (Acre-Ft),Max Storage (Acre-Ft),Normal Storage (Acre-Ft),Surface Area (Acres),Drainage Area (Sq Miles),Max Discharge (Cubic Ft/Second),Spillway Type,Spillway Width (Ft),Outlet Gate Type,Data Last Updated,Last Inspection Date,Inspection Frequency,Hazard Potential Classification,Condition Assessment,Condition Assessment Date,Operational Status,Operational Status Date,EAP Prepared,EAP Last Revision Date,Inundation Maps Added to NID?,Website URL
Aichi Forge Usa Dam,KY00728,AICHI,Private,"AUSTIN ENGINEERS, INC. SOUTHFIELD, MICHIGAN",,Other,38.28828,-84.55619,Kentucky,Scott,DELAPLAIN-AREA,1,"Kentucky, Congressional District 06",,Yes,No,15,,,15,Less than 25 feet,325,,1974,1970-1979,,86.8,86.8,26.6,8,1.35,,Uncontrolled,,,4/9/2021,4/30/2013,5,Low,Not Rated,,,,Not Required,,No,https://damsafety.org/kentucky
Oxy Usa Retention Pond,ND01160,OXY USA Inc.,Private,"Jerrel S. Krieg, PE-4530",,Other,47.156385,-102.770612,North Dakota,Dunn,,,"North Dakota, Congressional District 00",,Yes,No,29,,,29,25-50 feet,,,,Undetermined,,682.6,682.6,,,,,,,,2/16/2023,,,Low,Not Rated,,,,Not Required,,No,https://damsafety.org/north-dakota
Dod Usa 4,OK20998,DEPT. OF DEFENSE/US ARMY RESERVE CENTER,Federal,N/A,No,Recreation,35.67191196,-95.18729125,Oklahoma,Muskogee,BRAGGS,1,"Oklahoma, Congressional District 02",Cherokee OTSA,No,No,15,12,15,15,Less than 25 feet,240,0,1940,1940-1949,,50,50,25,,,20,Controlled,1,Valve1,6/22/2018,10/1/1998,5,Low,Not Rated,,,,Not Required,,No,https://damsafety.org/oklahoma
Dod Usa 2,OK20994,DEPT. OF DEFENSE/US ARMY RESERVE CENTER,Federal,N/A,No,Recreation,35.70340894,-95.13637547,Oklahoma,Muskogee,ARROWHEAD POINT,6,"Oklahoma, Congressional District 02",Cherokee OTSA,No,No,18,10,18,18,Less than 25 feet,340,0,1939,1930-1939,,50,50,25,5,,200,Controlled,1,Valve1,6/22/2018,10/1/1998,5,Low,Not Rated,,,,Not Required,,No,https://damsafety.org/oklahoma
Girl Scouts of Usa Dam,NC02637,"Girl Scouts, Carolina Peaks to Piedmont",Private,,,Recreation,35.2356,-81.265,North Carolina,Gaston,,,"North Carolina, Congressional District 14",,Yes,No,,19,22,22,Less than 25 feet,290,,1982,1980-1989,,18,18,12,2,0.12,,Controlled,,,1/27/2025,2/16/2023,,High,Fair,2/16/2023,,,Yes,10/21/2015,No,https://damsafety.org/north-carolina
Rlf/Pawnee Mine/Slurry Impoundment 2 Dam,IL50006,"RLF PAWNEE PROPERTIES, LLC",Private,HANSON ENGINEERS,No,Other,39.57607,-89.51917,Illinois,Christian,PAWNEE,4,"Illinois, Congressional District 15",,Yes,No,37,,,37,25-50 feet,9200,0,1985,1980-1989,1998,3700,3700,3520,,,,Uncontrolled,2,Uncontrolled,11/14/2023,6/2/2022,1,High,Not Available,,,,Yes,5/1/2019,No,https://damsafety.org/illinois
Exxonmobil Coal Usa/Mine 2/Recirculation Lake Dam,IL50526,EXXONMOBIL ENVIRONMENTAL SERVICES COMPAN,Private,HANSON/PATRICK ENGINEERING INC.,No,Recreation,38.53781,-89.60861,Illinois,Clinton,DAMIANSVILLE,4,"Illinois, Congressional District 12",,Yes,No,18,,,18,Less than 25 feet,700,0,1975,1970-1979,,394,394,180,31.8,0.14,2930,Uncontrolled,0,,11/17/2023,6/22/2021,5,Low,Not Available,,,,No,,No,https://damsafety.org/illinois
Exxonmobil Coal Usa/Mine 2/Freshwater Lake Dam,IL50527,EXXONMOBIL ENVIRONMENTAL SERVICES COMPAN,Private,HANSON/PATRICK ENGINEERING INC.,No,Recreation,38.53631,-89.60401,Illinois,Clinton,DAMIANSVILLE,4,"Illinois, Congressional District 12",,Yes,No,15,,,15,Less than 25 feet,800,0,1975,1970-1979,,423,423,187,545,1.23,230,Uncontrolled,0,,11/17/2023,6/6/2023,5,Low,Not Available,,,,No,,No,https://damsafety.org/illinois
Rlf/Pawnee Mine/Slurry Impoundment 3 Dam,IL50416,"RLE PAWNEE PROPERTIES, LLC",Private,GREENE & BRADFORD,No,Debris Control,39.58123,-89.52183,Illinois,Christian,,0,"Illinois, Congressional District 15",,Yes,No,20,,,20,Less than 25 feet,3600,0,1999,1990-1999,,214,214,171,12,0.02,9,Uncontrolled,1,Uncontrolled,11/17/2023,9/13/2023,5,Low,Not Available,,,,Yes,3/1/2017,No,https://damsafety.org/illinois
Asso.Minerals (Usa) Ltd. Dam,FL00155,"ILUKA RESOURCES, INC.",Private,,No,"Fire Protection, Stock, Or Small Fish Pond",29.890339,-81.7066,Florida,Clay,ST AUGUSTINE,0,"Florida, Congressional District 04",,Yes,No,20,20,18,20,Less than 25 feet,11170,2220,1970,1970-1979,,2220,2220,1680,165,0,11170,Controlled,0,,5/4/2023,7/31/2014,,Significant,Satisfactory,7/31/2014,,,No,,No,https://damsafety.org/florida
Lithco Plant Pond Dam,NC02644,Livent USA Corporation,Private,,,Other,35.2625,-81.2992,North Carolina,Gaston,,,"North Carolina, Congressional District 10",,Yes,No,,65,75,75,51-100 feet,820,,,Undetermined,1999,936,936,780,17,1.28,,,,,1/27/2025,11/3/2020,,Significant,Satisfactory,11/3/2020,,,Yes,12/1/2023,No,https://damsafety.org/north-carolina
